# rank, time, memory kiB
0, 1.53567439557232594e+09, 45224
0, 1.53567439608676600e+09, 45248
0, 1.53567439658694506e+09, 45248
0, 1.53567439708711100e+09, 45248
0, 1.53567439758731794e+09, 45248
0, 1.53567439808750296e+09, 45248
0, 1.53567439858771110e+09, 45248
0, 1.53567439908790302e+09, 45248
0, 1.53567439958806705e+09, 72568
0, 1.53567440008827400e+09, 93028
0, 1.53567440058849001e+09, 125664
0, 1.53567440108869195e+09, 125664
0, 1.53567440158889699e+09, 125664
0, 1.53567440208908510e+09, 125664
0, 1.53567440258929205e+09, 125664
0, 1.53567440308947992e+09, 125664
0, 1.53567440358966494e+09, 143568
0, 1.53567440408988094e+09, 162680
0, 1.53567440459009910e+09, 197804
0, 1.53567440509034300e+09, 202448
0, 1.53567440559056902e+09, 200464
0, 1.53567440609076190e+09, 200464
0, 1.53567440659097195e+09, 200464
0, 1.53567440709117007e+09, 200464
0, 1.53567440759136891e+09, 200464
0, 1.53567440809154797e+09, 200464
0, 1.53567440859175205e+09, 200464
0, 1.53567440909197092e+09, 200312
0, 1.53567440959219909e+09, 207632
0, 1.53567441009243011e+09, 207632
0, 1.53567441059262705e+09, 207632
0, 1.53567441109281611e+09, 207632
0, 1.53567441159301805e+09, 207632
0, 1.53567441209320402e+09, 207632
0, 1.53567441259340596e+09, 207632
0, 1.53567441309358692e+09, 207632
0, 1.53567441359381104e+09, 207632
0, 1.53567441409404492e+09, 207648
0, 1.53567441459426093e+09, 207648
0, 1.53567441509444594e+09, 207648
0, 1.53567441559464192e+09, 207648
0, 1.53567441609482598e+09, 207648
0, 1.53567441659503388e+09, 207648
0, 1.53567441709521794e+09, 207648
0, 1.53567441759541392e+09, 207648
0, 1.53567441809559989e+09, 207648
0, 1.53567441859583712e+09, 207720
0, 1.53567441909603810e+09, 207720
0, 1.53567441959623694e+09, 207720
0, 1.53567442009642100e+09, 207720
0, 1.53567442059660411e+09, 207720
0, 1.53567442109678793e+09, 207720
0, 1.53567442159699011e+09, 207720
0, 1.53567442209717298e+09, 207720
0, 1.53567442259737706e+09, 207720
0, 1.53567442309761190e+09, 208664
0, 1.53567442359782004e+09, 208664
0, 1.53567442409800792e+09, 208664
0, 1.53567442459822702e+09, 208664
0, 1.53567442509841394e+09, 208664
0, 1.53567442559860492e+09, 208664
0, 1.53567442609878898e+09, 208664
0, 1.53567442659899592e+09, 208664
0, 1.53567442709918308e+09, 208664
0, 1.53567442759943891e+09, 208664
0, 1.53567442809965992e+09, 208740
0, 1.53567442859986901e+09, 208740
0, 1.53567442910005498e+09, 208740
0, 1.53567442960024691e+09, 208740
0, 1.53567443010043097e+09, 208740
0, 1.53567443060062504e+09, 208740
0, 1.53567443110080791e+09, 208740
0, 1.53567443160100794e+09, 208740
0, 1.53567443210124111e+09, 208740
0, 1.53567443260148501e+09, 208872
0, 1.53567443310169196e+09, 208872
0, 1.53567443360188699e+09, 208872
0, 1.53567443410207295e+09, 208872
0, 1.53567443460226989e+09, 208872
0, 1.53567443510245800e+09, 208872
0, 1.53567443560264993e+09, 208872
0, 1.53567443610283494e+09, 208872
0, 1.53567443660304308e+09, 208872
0, 1.53567443710326695e+09, 208872
0, 1.53567443760354209e+09, 209132
0, 1.53567443810372400e+09, 208944
0, 1.53567443860391808e+09, 208944
0, 1.53567443910410595e+09, 208944
0, 1.53567443960429692e+09, 208944
0, 1.53567444010448003e+09, 208944
0, 1.53567444060466790e+09, 208944
0, 1.53567444110486102e+09, 208944
0, 1.53567444160505700e+09, 208944
0, 1.53567444210531211e+09, 208944
0, 1.53567444260551405e+09, 208944
0, 1.53567444310568190e+09, 209140
0, 1.53567444360587692e+09, 209140
0, 1.53567444410606503e+09, 209140
0, 1.53567444460625505e+09, 209140
0, 1.53567444510644388e+09, 209140
0, 1.53567444560663390e+09, 209140
0, 1.53567444610682893e+09, 209140
0, 1.53567444660708094e+09, 194928
1, 1.53567439557236600e+09, 45156
1, 1.53567439608678007e+09, 45180
1, 1.53567439658698702e+09, 45180
1, 1.53567439708719611e+09, 45180
1, 1.53567439758739996e+09, 45180
1, 1.53567439808760405e+09, 45180
1, 1.53567439858780909e+09, 45180
1, 1.53567439908801508e+09, 45180
1, 1.53567439958822489e+09, 72248
1, 1.53567440008846211e+09, 92968
1, 1.53567440058868003e+09, 126532
1, 1.53567440108890390e+09, 126532
1, 1.53567440158911300e+09, 126532
1, 1.53567440208932590e+09, 126532
1, 1.53567440258954310e+09, 126532
1, 1.53567440308975601e+09, 126532
1, 1.53567440358996892e+09, 144444
1, 1.53567440409019208e+09, 162380
1, 1.53567440459043097e+09, 181608
1, 1.53567440509067893e+09, 182232
1, 1.53567440559091592e+09, 182232
1, 1.53567440609114504e+09, 182232
1, 1.53567440659135294e+09, 182232
1, 1.53567440709156489e+09, 182232
1, 1.53567440759177208e+09, 182232
1, 1.53567440809198308e+09, 182232
1, 1.53567440859217906e+09, 182232
1, 1.53567440909243107e+09, 181908
1, 1.53567440959266305e+09, 186656
1, 1.53567441009287596e+09, 186656
1, 1.53567441059308195e+09, 186656
1, 1.53567441109329104e+09, 186656
1, 1.53567441159349799e+09, 186656
1, 1.53567441209370899e+09, 186656
1, 1.53567441259389997e+09, 186656
1, 1.53567441309411097e+09, 186656
1, 1.53567441359432292e+09, 186656
1, 1.53567441409455490e+09, 186656
1, 1.53567441459477210e+09, 186656
1, 1.53567441509497190e+09, 186656
1, 1.53567441559515691e+09, 186656
1, 1.53567441609533501e+09, 186656
1, 1.53567441659552312e+09, 186656
1, 1.53567441709570003e+09, 186656
1, 1.53567441759588289e+09, 186656
1, 1.53567441809606791e+09, 186656
1, 1.53567441859630489e+09, 186920
1, 1.53567441909654498e+09, 186920
1, 1.53567441959675908e+09, 186920
1, 1.53567442009697199e+09, 186920
1, 1.53567442059716797e+09, 186920
1, 1.53567442109737992e+09, 186920
1, 1.53567442159758592e+09, 186920
1, 1.53567442209779191e+09, 186920
1, 1.53567442259800792e+09, 186920
1, 1.53567442309824300e+09, 186920
1, 1.53567442359846592e+09, 186920
1, 1.53567442409868312e+09, 186920
1, 1.53567442459892392e+09, 186920
1, 1.53567442509913111e+09, 186920
1, 1.53567442559933710e+09, 186920
1, 1.53567442609954810e+09, 186920
1, 1.53567442659974289e+09, 186920
1, 1.53567442709996104e+09, 186920
1, 1.53567442760019112e+09, 187184
1, 1.53567442810043001e+09, 187184
1, 1.53567442860063791e+09, 187184
1, 1.53567442910085106e+09, 187184
1, 1.53567442960104704e+09, 187184
1, 1.53567443010125804e+09, 187184
1, 1.53567443060146689e+09, 187184
1, 1.53567443110167193e+09, 187184
1, 1.53567443160188293e+09, 187184
1, 1.53567443210210991e+09, 187184
1, 1.53567443260233092e+09, 187184
1, 1.53567443310254788e+09, 187184
1, 1.53567443360275698e+09, 187184
1, 1.53567443410296392e+09, 187184
1, 1.53567443460316801e+09, 187184
1, 1.53567443510337591e+09, 187184
1, 1.53567443560356808e+09, 187184
1, 1.53567443610378504e+09, 187184
1, 1.53567443660399604e+09, 187184
1, 1.53567443710424495e+09, 187184
1, 1.53567443760447097e+09, 187184
1, 1.53567443810470510e+09, 187184
1, 1.53567443860490704e+09, 187184
1, 1.53567443910509801e+09, 187184
1, 1.53567443960528708e+09, 187184
1, 1.53567444010547996e+09, 187184
1, 1.53567444060566902e+09, 187184
1, 1.53567444110586190e+09, 187184
1, 1.53567444160605907e+09, 187184
1, 1.53567444210629010e+09, 187448
1, 1.53567444260653996e+09, 187448
1, 1.53567444310675812e+09, 187448
1, 1.53567444360695601e+09, 187448
1, 1.53567444410716510e+09, 187448
1, 1.53567444460736990e+09, 187448
1, 1.53567444510757709e+09, 187448
1, 1.53567444560778403e+09, 187448
1, 1.53567444610800195e+09, 187448
1, 1.53567444660825396e+09, 175992
2, 1.53567439557239103e+09, 45244
2, 1.53567439608671999e+09, 45268
2, 1.53567439658692002e+09, 45268
2, 1.53567439708710003e+09, 45268
2, 1.53567439758729911e+09, 45268
2, 1.53567439808747792e+09, 45268
2, 1.53567439858767700e+09, 45268
2, 1.53567439908785391e+09, 45268
2, 1.53567439958804107e+09, 72456
2, 1.53567440008826399e+09, 92948
2, 1.53567440058848310e+09, 126716
2, 1.53567440108868599e+09, 126716
2, 1.53567440158888507e+09, 126716
2, 1.53567440208906603e+09, 126716
2, 1.53567440258927202e+09, 126716
2, 1.53567440308945298e+09, 126716
2, 1.53567440358964992e+09, 144496
2, 1.53567440408986592e+09, 162652
2, 1.53567440459011412e+09, 181636
2, 1.53567440509034491e+09, 182448
2, 1.53567440559056497e+09, 182448
2, 1.53567440609074998e+09, 182448
2, 1.53567440659095097e+09, 182448
2, 1.53567440709116197e+09, 182448
2, 1.53567440759136295e+09, 182448
2, 1.53567440809154701e+09, 182448
2, 1.53567440859175611e+09, 182448
2, 1.53567440909197402e+09, 182124
2, 1.53567440959221292e+09, 186872
2, 1.53567441009242296e+09, 186872
2, 1.53567441059263110e+09, 186872
2, 1.53567441109281301e+09, 186872
2, 1.53567441159301496e+09, 186872
2, 1.53567441209320092e+09, 186872
2, 1.53567441259340405e+09, 186872
2, 1.53567441309358501e+09, 186872
2, 1.53567441359381104e+09, 186872
2, 1.53567441409404993e+09, 186872
2, 1.53567441459426689e+09, 186872
