# rank, name, start time, end time, delta
0, "oscillators::initialize", 1.53567439557329512e+09, 1.53567439942091489e+09, 3.84761977195739746e+00
0, "oscillators::analysis::initialize", 1.53567439942091608e+09, 1.53567440046161294e+09, 1.04069685935974121e+00
0, "oscillators::bridge::initialize", 1.53567439942091799e+09, 1.53567440046161008e+09, 1.04069209098815918e+00
0, "ConfigurableAnalysis::Initialize", 1.53567439942141700e+09, 1.53567439942141700e+09, 0.00000000000000000e+00
0, "CatalystAnalysisAdaptor::Initialize", 1.53567439943809390e+09, 1.53567439959763002e+09, 1.59536123275756836e-01
0, "CatalystAnalysisAdaptor::0::Initialize", 1.53567439959763908e+09, 1.53567439959764004e+09, 9.53674316406250000e-07
0, "timestep: 0 time: 0", 1.53567440046163392e+09, 1.53567440510335302e+09, 4.64171910285949707e+00
0, "oscillators::advance", 1.53567440046163511e+09, 1.53567440046284604e+09, 1.21092796325683594e-03
0, "oscillators::move_particles", 1.53567440046284699e+09, 1.53567440046285391e+09, 6.91413879394531250e-06
0, "oscillators::master.exchange", 1.53567440046285391e+09, 1.53567440344439697e+09, 2.98154306411743164e+00
0, "oscillators::handle_incoming_particles", 1.53567440344439793e+09, 1.53567440344440198e+09, 4.05311584472656250e-06
0, "oscillators::analysis", 1.53567440344440293e+09, 1.53567440510334110e+09, 1.65893816947937012e+00
0, "oscillators::bridge::analyze", 1.53567440344447708e+09, 1.53567440510333490e+09, 1.65885782241821289e+00
0, "ConfigurableAnalysis::Execute", 1.53567440344447803e+09, 1.53567440344447803e+09, 0.00000000000000000e+00
0, "CatalystAnalysisAdaptor::0::Execute", 1.53567440344447899e+09, 1.53567440510333395e+09, 1.65885496139526367e+00
0, "CatalystAnalysisAdaptor::Execute", 1.53567440344448209e+09, 1.53567440510333300e+09, 1.65885090827941895e+00
0, "oscillators::bridge::release-data", 1.53567440510333610e+09, 1.53567440510333991e+09, 3.81469726562500000e-06
0, "timestep: 1 time: 1", 1.53567440510335803e+09, 1.53567440941057110e+09, 4.30721306800842285e+00
0, "oscillators::advance", 1.53567440510335898e+09, 1.53567440510402894e+09, 6.69956207275390625e-04
0, "oscillators::move_particles", 1.53567440510402894e+09, 1.53567440510402989e+09, 9.53674316406250000e-07
0, "oscillators::master.exchange", 1.53567440510403109e+09, 1.53567440848238707e+09, 3.37835597991943359e+00
0, "oscillators::handle_incoming_particles", 1.53567440848238802e+09, 1.53567440848239207e+09, 4.05311584472656250e-06
0, "oscillators::analysis", 1.53567440848239207e+09, 1.53567440941055989e+09, 9.28167819976806641e-01
0, "oscillators::bridge::analyze", 1.53567440848239708e+09, 1.53567440941055489e+09, 9.28157806396484375e-01
0, "ConfigurableAnalysis::Execute", 1.53567440848239803e+09, 1.53567440848239803e+09, 0.00000000000000000e+00
0, "CatalystAnalysisAdaptor::0::Execute", 1.53567440848239994e+09, 1.53567440941055393e+09, 9.28153991699218750e-01
0, "CatalystAnalysisAdaptor::Execute", 1.53567440848239994e+09, 1.53567440941055298e+09, 9.28153038024902344e-01
0, "oscillators::bridge::release-data", 1.53567440941055608e+09, 1.53567440941055894e+09, 2.86102294921875000e-06
0, "timestep: 2 time: 2", 1.53567440941057491e+09, 1.53567441397121096e+09, 4.56063604354858398e+00
0, "oscillators::advance", 1.53567440941057491e+09, 1.53567440941125488e+09, 6.79969787597656250e-04
0, "oscillators::move_particles", 1.53567440941125607e+09, 1.53567440941125703e+09, 9.53674316406250000e-07
0, "oscillators::master.exchange", 1.53567440941125703e+09, 1.53567441317719102e+09, 3.76593399047851562e+00
0, "oscillators::handle_incoming_particles", 1.53567441317719197e+09, 1.53567441317719603e+09, 4.05311584472656250e-06
0, "oscillators::analysis", 1.53567441317719603e+09, 1.53567441397119999e+09, 7.94003963470458984e-01
0, "oscillators::bridge::analyze", 1.53567441317720103e+09, 1.53567441397119498e+09, 7.93993949890136719e-01
0, "ConfigurableAnalysis::Execute", 1.53567441317720199e+09, 1.53567441317720294e+09, 9.53674316406250000e-07
0, "CatalystAnalysisAdaptor::0::Execute", 1.53567441317720389e+09, 1.53567441397119403e+09, 7.93990135192871094e-01
0, "CatalystAnalysisAdaptor::Execute", 1.53567441317720509e+09, 1.53567441397119308e+09, 7.93987989425659180e-01
0, "oscillators::bridge::release-data", 1.53567441397119594e+09, 1.53567441397119904e+09, 3.09944152832031250e-06
0, "timestep: 3 time: 3", 1.53567441397121596e+09, 1.53567441855568695e+09, 4.58447098731994629e+00
0, "oscillators::advance", 1.53567441397121596e+09, 1.53567441397188497e+09, 6.69002532958984375e-04
0, "oscillators::move_particles", 1.53567441397188497e+09, 1.53567441397188592e+09, 9.53674316406250000e-07
0, "oscillators::master.exchange", 1.53567441397188592e+09, 1.53567441777708793e+09, 3.80520200729370117e+00
0, "oscillators::handle_incoming_particles", 1.53567441777708912e+09, 1.53567441777709198e+09, 2.86102294921875000e-06
0, "oscillators::analysis", 1.53567441777709293e+09, 1.53567441855567503e+09, 7.78582096099853516e-01
0, "oscillators::bridge::analyze", 1.53567441777709699e+09, 1.53567441855567002e+09, 7.78573036193847656e-01
0, "ConfigurableAnalysis::Execute", 1.53567441777709794e+09, 1.53567441777709794e+09, 0.00000000000000000e+00
